Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b1850,197.91691360573074,202.46731397216874,205.5430604724228,207.36237892909693,164.7631496449932,162.59907188669033,210.32388324054605,225.14702710753866,247.20144914242798,240.8220112722076,253.3228245889731,240.35702613795775
b1851,34.204643903156125,35.324620319625645,35.71062121755289,36.47210068112236,21.444372632535266,22.192532529052816,39.6957316255071,37.66076346796296,47.5661244329493,50.20224307113023,47.938718555888066,49.584614988063954
b1852,233.5082806994489,229.28573405904382,223.2867882095607,232.98154683521636,165.46653629005453,169.64981094591423,287.8588399031041,278.05756344842297,332.1883936391434,337.5339127870914,307.3308000386667,312.9119385916327
b1853,59.69325585879302,58.73091102490238,66.15030701817466,63.58703992861371,34.738240417762114,32.348414457150994,64.25376660212841,60.1012110419769,73.18110651774549,72.9482473495493,71.73550866936645,72.45487407845351
b1854,279.22604214381613,282.25325508278854,307.70769805064555,305.6266091451841,116.08180989341926,121.30338856688851,415.45341503034797,417.0838262086071,552.0451108186423,559.2137261399153,496.274066657624,518.6711411815504
b1855,135.98438682694882,137.77695332690365,128.1534724863918,128.14903048934676,180.25460837394832,187.47300606963088,55.659623812820705,57.41562523202221,59.27476381058504,55.015553485213935,55.336428170806876,50.54608817110705
b1856,663.0854310758908,677.3355769223457,703.8717149226418,691.1549839245324,716.7995444172535,715.0663375092536,66.567672622334,68.78860840180077,57.845131288251814,61.56214525001648,55.9344753309033,57.67113877998412
b1857,2364.254182800178,2361.953392954003,2451.8108080193933,2464.1181647764324,2157.1701636322323,2141.9046819971986,86.9190710749321,94.98698544009734,86.07922438204808,87.1065665251987,81.89111445109914,83.76517574709982
b1858,198.35269479456304,200.89083513426917,205.06120353286502,200.95740311284789,222.41777422593933,220.39868287992147,39.500644817563135,37.77365723373994,45.18738487897846,41.585540036311635,40.20123465759764,34.050226097434546
b1859,98.68300613725097,95.59465855083504,115.66170711191087,120.78562571025024,126.11540596713408,128.91477028505773,18.746068726979114,21.380212165018513,18.5105091705505,18.092691542943772,20.502415573290694,17.962932496221203
b1860,49.74213026607185,51.20895369013296,60.20083231613658,56.66045321101418,42.87804419426006,47.404285392616764,53.234385079284905,52.28069724632735,55.261285063226836,52.54454479931268,54.809726925900556,58.82331405875226
b1861,51.233177956179674,51.74170950171758,54.41207014316635,53.36123037652641,38.705432155985605,41.17529332206888,64.69231560682988,70.7808805819454,75.02853793564427,72.39861912423952,75.99188242116062,78.5313508527112
b4677,1.844937034962163,0.9316247783186573,1.7923562585509345,4.506412898166661,1.7680045140665168,0.8920730498833956,0.8520940330445053,0.0,0.0,2.6710848145668304,2.141799394020001,0.0
b1862,2.8270676953649065,2.855128673852203,4.021655087594385,4.143209470553229,3.3864763080378553,3.5150341070032303,2.984448752553889,2.071324844009122,1.6407125939429237,2.631217877035982,2.5786838475265683,2.719851028248379
b1863,219.03855901292164,205.54640942329453,202.3714428476532,204.54970729724303,223.5408006290998,229.1909978275133,199.95806642111054,205.9929310776407,181.61490328672667,185.52270313589082,188.88455000710871,183.5960610132759
b1864,394.5476277764023,390.58085948992,374.8419226384902,381.2315844329202,380.37865539274804,374.3961969356774,395.716608673964,397.9482350379939,384.9172700656747,373.75722008525827,391.5504114857212,380.97974553562784
b1865,262.3476027464077,254.77161321781875,256.4375139717509,247.65574035858427,280.64437216993605,269.4296921389545,293.35735365464666,292.63854475105995,289.31509040648706,288.1115810361247,280.53316831077865,277.35902098085296
b1866,334.63286880333175,330.04738804685365,323.1275633224499,327.98755831962785,322.52171686298686,316.7991399484383,334.73310198952726,340.5427228828979,357.7493220700875,363.45434499936664,369.22302176234473,370.01019064495716
b1867,36.40090054695188,32.09915638312749,34.11166911115191,33.15193911963453,21.81474352805882,22.84462201817796,46.4188368477578,44.957911459109965,58.299681115865454,63.84222470372078,53.85095619250288,51.9399570756804
b1868,17.023430003918275,19.669909238933112,17.043797975085074,18.375600140070063,14.461370256082535,14.305845466628227,21.355411626705145,21.2812590991127,23.094063822305856,25.18451396591583,20.539307009320012,19.76407753876235
b1869,51.50449222602705,54.965861920800776,57.50476329517581,55.42887864744993,56.13414332161191,52.334952259825876,65.75325621660099,56.91649744400685,63.63464313219005,62.77049314232051,56.57920065869503,60.50324737937501
b1870,68.82061496143133,69.09049565659977,66.85922478973667,58.36531543915853,76.77274440315452,81.19303581438713,52.68552380122759,51.43157293205494,41.066460264664855,39.64981275816677,41.41963666822551,40.4458632394958
b1871,57.24999058490613,53.57992629379586,51.11534515126739,54.649992467519894,76.53167688204599,77.77555405279679,55.0231832078924,60.16082806610668,48.07841953525231,47.76075522342748,51.19164971386077,46.951373627733695
b1872,3.733150370744426,3.3400473533794823,3.3833490362029366,3.965643350386662,3.865599993100989,3.488996817321725,4.096363166265807,4.789502816913348,5.460463090429652,4.473792261434979,4.566527843793261,5.135306490533373
b1873,1.8248287294039922,1.6195547917365214,1.5579336416287415,1.3506959640281544,0.9008633355052824,0.26737884328930117,1.685613809237904,1.4438216772458927,1.6914671268217478,1.8680611328033236,1.8616730427585295,1.6839167721390864
b4717,0.0,0.7685904421128923,0.0,1.4871162563949982,0.0,0.0,0.0,0.0,0.7274630104026346,0.0,0.0,0.0
b1874,34.720381308565045,36.052756481440085,38.87757490937187,36.78970337105699,22.33792048696089,24.19703365025082,48.33323744064495,48.86897349658104,56.249348702618704,53.57187776685442,48.53885132712797,48.11101598841868
b1875,31.998431749237938,31.231611616015936,29.93898787431376,32.83720552039749,20.271247523715036,22.117747681235933,35.508426477558324,40.652365372825486,37.463703533962835,40.21231036533062,38.393737285395574,42.75928669668604
b1876,127.03253307512833,128.39981503533025,112.32616047316695,112.17693560349814,179.00280997088677,180.97661908188056,129.4386856217537,127.7886563463108,110.18505481669432,113.86769866942336,109.524506382438,115.72031138044822
b4778,2.705907651277839,4.099149024602092,3.9431837688120557,1.321881116795554,15.558439723785348,17.00885948444341,8.748165405923586,8.83137592582071,5.173070296196513,2.6117273742431233,1.5706528889480007,7.92304429968006
b1877,5.727227850864138,4.903889937407411,5.080175407671974,5.47404756955214,9.9029946094646,11.077029772785231,4.600262264289354,5.688923142399844,2.6182717756822838,1.6824010692977174,4.480696891784174,3.645572530527635
b1878,1.0844286388708897,2.190384974978217,3.762579932072572,2.4217669315338393,3.5630014634622933,2.247206919553592,3.148194748042294,3.467061432165164,2.2212611004660596,2.541948398595406,3.4170692622151164,3.265987726585674
b1879,1.0249650194234239,1.4491940996068002,1.4225049671039163,1.6022801415703682,0.6735255291681969,1.0478318363709727,3.110819485718035,3.7411827515072273,4.170927890331604,4.494206195937842,3.093710235806668,3.4984870933652217
b1880,0.7948162161064148,0.642164338057769,0.92659670807594,0.9318744165399465,0.7108947654471112,0.5636597338688818,3.0346116477094127,2.27290167430671,2.3805578060173245,2.710604781361988,1.5378455178994785,2.420355569353961
b1881,3.5869008400659728,3.5271747420994743,4.5850974055954135,4.3345404062365835,1.6282088083031176,2.6471749108167737,7.149663421452499,5.4572622000088105,5.4136782169498385,9.019570118025669,6.246084744421119,5.527705325358181
b1882,1.717210624849398,2.6802128237782905,1.819930970220949,1.8302969309476902,1.496003819594745,1.0567634590926378,3.6050132167267526,3.6393032661349074,3.4321331772842245,3.1642081649483993,4.168271128362002,1.2798763868713943
b1883,0.927739766152402,0.40991490246020923,0.675974360367781,0.5098684307639995,0.3889609930946337,0.5607316313552773,0.5891621599907721,0.648835782305195,0.6651090380824087,1.3431740781821775,0.8750780381281719,1.6298833987913268
b1884,0.4949831069410682,0.5713099685856574,0.6182692320437022,0.8981422222130071,0.40657943529055784,0.5470552501027095,0.8491250642882526,0.989078936440846,1.0138857287841596,1.365014307095709,0.7388088502020214,0.9938313407264188
b1885,0.3420388885042212,0.3838154517417689,0.8122663194182138,0.3341834284033704,0.29135654913455705,0.18376036608084928,0.45636496900885487,0.4961447149337478,0.980849002790069,0.9904022346146675,0.7941503371085397,0.845718211763602
b1886,0.5494848569833157,0.6289308070237867,0.6405894209261462,0.608447084445607,0.2808382621621904,0.3542528356937672,1.1504807521972742,0.8539881310424874,1.1205206417754179,1.449650121985127,1.3183277858498563,0.9009960124184906
b1887,1.2079944871776067,1.8299772431259338,2.3471331957214616,1.8884015954222197,2.4310062068414604,1.6354672581195586,2.1200911060273997,2.1402569207983864,3.1176986160112907,3.0314692736750533,3.085211031862144,2.546692810611448
b1888,0.8985265864930229,1.3455221989151904,1.294327496632965,1.4227880722761306,1.187667154487431,1.0187338035309617,2.4040759894141153,1.8779916090894637,2.1027938417745364,2.452232572762627,2.0862107074576497,1.8870151309161671
b1889,1.3135474035329318,1.5255732615833029,1.467527939849147,1.4758866838008613,1.1328960963921368,0.9526993736618787,1.7593397834381694,2.5722454152875858,2.762319090202021,3.5499207028547306,1.8298868609102923,1.538455203821371
b1890,0.617056643450183,0.6924238217233263,0.9991175089895412,1.2057699376175661,0.5913258340965715,0.928238173527317,1.519951518403712,0.8950718843737205,1.0485953303101039,1.5220370677599282,1.114314549591487,1.2848179945427125
b4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b1891,11.146096283761047,12.000099476166746,9.091796772649559,11.506529928583062,11.89051740548362,11.287266258110114,6.79909228439657,6.2754410723818514,6.2318074811693736,4.567139838378519,6.103573402647671,5.172557418443977
b1892,23.76341975801692,23.298582062909325,22.24360074714493,24.74290295540396,20.611608181083152,18.786905939424674,9.933814197202608,10.675289580662396,7.461159081052661,8.873176335569585,5.638241139813336,8.532509245809296
b1893,5.919172987170273,7.075912006753611,7.862896205666897,9.32398287739721,5.788110016289191,5.140039954090041,9.038283136222073,10.926574806181236,10.623269358260695,13.40842178740889,10.658001746432861,10.611220044214367
b1894,5.073576846145948,8.02007417856931,7.286317833674452,9.267536090577526,10.780984047731694,7.892907202229175,27.100295007480675,27.97516597620225,35.63514456754935,34.27892178694099,31.242334638856974,34.36189864752548
b1895,12.630722777817885,12.039458673656494,13.92522939335726,14.559180132538444,4.080010417076577,3.019324168836108,28.971197123513175,27.6587048226253,33.10041483230635,35.888421611103055,34.59829790340002,35.57059049226992
b1896,5.810580640638729,5.393617137634331,5.644978869036207,6.136311289545676,4.299042555256477,3.1814142031630994,7.024842596636384,6.454208571351677,8.45388593141588,8.247560129188809,6.547142568667456,6.505236372368892
b1897,1.9002160472456735,1.5352618069670756,2.289114172905875,2.5992044431373253,0.9469087846873105,1.1025621964850958,1.5446198951068935,1.913701043315884,2.5429418590853645,2.200893854699261,1.147106042490113,1.869482362845857
