Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b4641,3.9589016327900475,4.373113680368039,3.919906542518607,3.891646655539251,3.6293886010801533,4.080884653557862,3.886967287084188,4.031548687715172,4.242978724526614,4.557326011547721,3.928349559530368,3.89750186614584
b4582,2.1509523492453577,2.505478535385677,2.181422925178114,2.432075229371364,1.4562713929258733,1.6078105692810087,1.987223174700553,2.0195742845077924,2.57669766118457,2.3103906061731263,2.517215943570339,2.4273928034604655
b1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b1999,2.550703784813158,2.526843976224359,2.829678689116612,2.864649677471109,0.8653238637495022,1.4837309263345753,2.5569294061395538,2.282391631250665,2.7227116219960337,2.7931808964975526,2.835685502662368,2.8798535319273944
b4435,3.373871371031304,3.589304537616527,2.3054405414009387,2.3979926183167786,0.37762438592833397,1.491388538526599,1.5939787164552945,1.7351556473495686,0.6752674009349073,2.1093220237967776,1.4917462918758793,1.6753976497604444
b2000,7.125219376174304,7.1494155669790524,4.568651109125097,4.620774310535115,3.783680072467916,3.905278210040587,3.732605145391967,3.819636332935691,3.9041006493462382,3.8658917719700767,5.3521852675568855,5.3765909901726054
b2001,4.3714601758180915,4.3542341301638565,2.5224852804864333,2.5675337922858263,2.2065139915759993,1.8830105047852392,1.7898959067746254,1.9729449515152517,2.079580115023387,2.1784273823044225,2.9763059517457533,2.666578862654501
b2002,2.7190387509368295,2.7009309178599388,2.274209913110358,1.9239405472366156,1.6268508224060982,1.63573012965841,2.007016410564326,2.266120047545504,2.174808265287987,2.343506293496378,2.672665256106081,2.407939584449469
b2003,2.5013641741555004,2.11224451751941,1.974802661891647,2.606685884550409,2.0544101442597267,1.6423260081594389,2.4077685850074135,2.550645008752355,2.7585748704936197,2.5920000569108037,2.607391718174861,2.5405400293062486
b2004,1.7267968559533275,1.3217484205794685,1.7673922279290912,2.235027084207992,1.276811090367114,1.0819561652983385,2.121995232529033,2.3657293551369607,2.3946019578956146,2.645080248901812,2.2139126356986285,2.33860829249778
